Name,Price,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Horsepower,Machinery Type,Battery Range (up to)
Rav4,"€15,250",Toyota,RAV4,Sol,Medium Trim,2014,"143,700 km",Diesel,Manual,SUV,2.0 litre,124hp,11.0 sec,5,4,Grey,Ireland,2,280,Nov 2022,5/5,,,,,
Ford Mondeo LX 1.6 5speed 4DR NT,"€2,500",Ford,Mondeo,,,2008,"193,121 km",Petrol,Manual,Saloon,1.6 litre,,,---,4,Grey,Ireland,3,---,Feb 2022,,3 Month,,,,
Opel Corsa 1.4 (75ps) 120 Years Edition 5 DR,No Price,Opel,Corsa,120 Years Edition,Sports Trim,2019,"54,575 mi",Petrol,Manual,Hatchback,1.4 litre,75hp,15.5 sec,5,5,Blue,Ireland,1,270,May 2023,4/5,12 Month,,,,
Ford Fiesta Fiesta Base Tdci Econetic II 1.5 Tdci,"€7,650",Ford,Fiesta,---,---,2015,"153,000 mi",Diesel,Manual,MPV,1.5 litre,---,---,---,3,White,UK,1,---,Oct 2023,---,Available,,,,
Opel Corsa SC 1.4 90ps,"€10,975",Opel,Corsa,SC,Medium Trim,2017,"94,216 km",Petrol,Manual,Hatchback,1.4 litre,90hp,13.2 sec,5,5,Grey,Ireland,---,200,---,4/5,Available,,,,
BMW 1 Series Low Mileage..new Nct..low Tax...116d,"€16,950",BMW,1-Series,SE,Medium Trim,2016,"98,432 km",Diesel,Manual,Hatchback,1.5 litre,116hp,10.3 sec,5,4,Silver,Ireland,2,180,Aug 2022,5/5,,,,,
Volkswagen Golf Trendline 1.2 TSI D7F 5DR 105HP 5,"€11,990",Volkswagen,Golf,TRENDLINE,Base Trim,2013,"128,002 km",Petrol,Automatic,Hatchback,1.2 litre,85hp,12.3 sec,5,5,Black,Ireland,1,210,Jan 2024,---,6 Month,,,,
Ford Kuga St-line 1.5 TD,"€41,750",Ford,Kuga,---,---,2022,0 km,Diesel,Manual,SUV,1.5 litre,---,---,---,5,Silver,Other,---,---,---,---,Available,,,,
SEAT Leon 1.4 TSI FR Technology 140,"€14,750",SEAT,Leon,FR,Sports Trim,2014,"120,701 km",Petrol,Manual,Hatchback,1.4 litre,180hp,7.5 sec,5,5,Blue,Ireland,1,210,Sep 2024,5/5,3 Month,,,,
Hyundai i10 1.0 Premium 5DR,"€8,995",Hyundai,i10,Premium,Medium Trim,2015,"96,560 km",Petrol,Manual,Hatchback,1.0 litre,65hp,14.9 sec,5,5,Grey,Ireland,2,180,Feb 2023,4/5,3 Month,,,,
Kia Sorento K4 7 Seat Phev,"€63,490",KIA,Sorento,---,---,2022,0 km,Hybrid,Automatic,SUV,1.6 litre,---,---,---,---,---,Ireland,---,---,---,---,Available,---,,,
2014 RANGEROVER SPORT 3.0TDV6 LWB,"€29,999",LAND ROVER,Range Rover Sport,S,Base Trim,2014,"168,000 mi",Diesel,Automatic,SUV,3.0 litre,258hp,7.6 sec,5,5,Silver,Ireland,5,1200,Nov 2022,---,,,,,
VW Golf,"€13,500",Volkswagen,Golf,COMFORTLINE,Medium Trim,2014,"193,000 km",Diesel,Manual,Hatchback,1.6 litre,105hp,10.7 sec,5,5,Blue,Ireland,1,180,Feb 2024,5/5,,,,,
Opel Corsa **NCT 04/23**TAX 11/22**,"€2,650",Opel,Corsa,,,2008,"132,000 mi",Petrol,Manual,Hatchback,1.0 litre,,,5,5,Blue,Ireland,2,280,Apr 2023,,,,,,
Volvo S60 2012,"€6,800",Volvo,S60,R-DESIGN,Medium Trim,2012,"232,500 mi",Diesel,Manual,Saloon,2.0 litre,163hp,9.2 sec,5,4,Grey,Ireland,1,270,Mar 2023,---,,,,,
"Opel Corsa, 2007","€2,995",Opel,Corsa,,,2007,"157,000 km",Petrol,Manual,Hatchback,1.2 litre,,,5,3,Blue,Ireland,6,358,Dec 2023,,,,,,
Mercedes-Benz S-Class S350d AMG Line Premium,"€59,999",Mercedes-Benz,S-Class,AMG SPORT,Luxury Trim,2018,"81,021 km",Diesel,Automatic,Saloon,2.9 litre,286hp,6.0 sec,5,4,Silver,Ireland,1,280,May 2024,---,,,,,
2005 Volkswagen Passat,"€2,500",Volkswagen,Passat,,,2005,"298,000 km",Diesel,Manual,Estate/Jeep,1.9 litre,,,5,5,Black,Ireland,5,673,Aug 2020,,,,,,
